model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
xlm-roberta-large,nu-mnli,3e-05,64.0,0.4,1433.6,72.41614612331071,72.40087277925133,73.16889414781147,70.95529771947281,72.1750215488452,5
xlm-roberta-large,nu-mnli,5e-05,64.0,0.4,1126.4,69.76707531293086,69.58471689592483,74.49133936157216,71.95397962144075,72.01001195964591,5
xlm-roberta-large,nu-mnli,1e-05,128.0,0.0,665.6,75.98066077978326,75.12239877910358,76.36691887555335,73.25448664011108,74.91460143158933,5
xlm-roberta-large,nu-mnli,3e-05,128.0,0.8,1331.2,73.46214531728921,73.30981929003201,79.71367629419065,76.9843209605046,76.66927218157575,5
xlm-roberta-large,nu-mnli,5e-05,128.0,0.0,512.0,74.40470383477191,74.23085789871898,76.49670825813112,73.83228803923251,74.85328473202755,5
xlm-roberta-large,nu-mnli,1e-05,256.0,1.2,972.8,75.98523417134682,75.60251790789602,79.29184242357032,75.7046142872307,76.86632487289901,5
xlm-roberta-large,nu-mnli,3e-05,256.0,0.2,332.8,76.48052692706825,75.5105632874253,77.09170520423386,73.29582932677968,75.29936593947961,5
xlm-roberta-large,nu-mnli,5e-05,256.0,0.8,691.2,75.10213654271152,74.85379223447138,79.59459461657924,76.51593956041393,76.98810880382152,5
xlm-roberta-large,nu-mnli,1e-05,512.0,1.0,364.8,78.65584066124737,77.81366772696204,77.8673502323123,73.85289050078703,76.51130282002046,5
xlm-roberta-large,nu-mnli,3e-05,512.0,1.6,588.8,73.6125047267875,73.47373884420101,79.26540820568728,76.09005169168822,76.2763995805255,5
xlm-roberta-large,nu-mnli,5e-05,512.0,0.8,358.4,73.12441609507525,72.88823707983416,76.75219217970191,74.05540206322412,74.56527710758672,5
xlm-roberta-large,nu-snli,1e-05,64.0,1.0,3532.8,82.29618805839547,80.78942153112233,78.78768327515675,76.02055893816998,78.53255458148303,5
xlm-roberta-large,nu-snli,3e-05,64.0,0.2,1433.6,76.12138693463837,74.87270393294287,72.07174853694808,69.30482678663313,72.08309308550803,5
xlm-roberta-large,nu-snli,5e-05,64.0,0.0,921.6,80.45748317170454,78.83490631906332,78.0550477466835,75.4505003035564,77.44681812310108,5
xlm-roberta-large,nu-snli,1e-05,128.0,0.6,1382.4,82.93528819676034,81.54445267840491,79.17500220306457,75.9987547323605,78.90606987127666,5
xlm-roberta-large,nu-snli,3e-05,128.0,0.0,563.2,82.4755835210764,81.13105695816073,78.55261454290326,75.31509475298677,78.33292208468359,5
xlm-roberta-large,nu-snli,5e-05,128.0,0.0,486.4,80.96577486663291,79.59915606657245,77.65578580184794,74.67973713886975,77.31155966909671,5
xlm-roberta-large,nu-snli,1e-05,256.0,0.8,755.2,83.30684283994046,81.95679698325856,78.90020713573642,75.79409036624388,78.8836981617463,5
xlm-roberta-large,nu-snli,3e-05,256.0,0.2,473.6,82.46847755258963,80.94253025241844,77.89124803608453,74.74847737075605,77.86075188641968,5
xlm-roberta-large,nu-snli,5e-05,256.0,0.0,358.4,78.90677492629518,77.91132854195754,75.01098163577119,72.12261124319056,75.01497380697309,5
xlm-roberta-large,nu-snli,1e-05,512.0,1.2,473.6,83.2731540954294,81.80365885265999,78.86494952858956,75.94991659566088,78.87284165897015,5
xlm-roberta-large,nu-snli,3e-05,512.0,2.0,742.4,80.01940972560504,78.87680978124874,74.36434753592138,71.94192450399389,75.06102727372134,5
xlm-roberta-large,nu-snli,5e-05,512.0,0.4,262.4,78.76559269966303,77.44015004975076,75.1629799332132,71.91153495879561,74.83822164725318,5
xlm-roberta-large,nu-snli+mnli,1e-05,64.0,0.0,1536.0,79.42607726076692,78.31222745623712,79.77968196260761,77.06628384982871,78.38606442289115,5
xlm-roberta-large,nu-snli+mnli,3e-05,64.0,0.0,1177.6,78.3634117506517,77.49052097372825,79.30203391322739,76.99387611102262,77.92881033265942,5
xlm-roberta-large,nu-snli+mnli,5e-05,64.0,0.0,1433.6,79.20259570592626,78.34146285274616,78.19790295760217,76.7566589511338,77.7653415871607,5
xlm-roberta-large,nu-snli+mnli,1e-05,128.0,0.2,1305.6,80.25668091971929,79.16066319987344,79.73357069705384,76.65466624790187,78.51630004827639,5
xlm-roberta-large,nu-snli+mnli,3e-05,128.0,0.0,742.4,79.83026575785104,78.75785374563925,79.58566357208183,77.4145129677025,78.5860100951412,5
xlm-roberta-large,nu-snli+mnli,5e-05,128.0,0.2,1100.8,74.75111260197029,74.23191522145007,71.47015200583664,69.78568707893687,71.82925143540787,5
xlm-roberta-large,nu-snli+mnli,1e-05,256.0,0.0,512.0,80.46753434337742,79.26149525410283,79.72614903536757,76.74762779037128,78.57842402661389,5
xlm-roberta-large,nu-snli+mnli,3e-05,256.0,0.2,601.6,81.22593178211908,80.10941076414642,79.64912104282674,77.13382261915606,78.96411814204308,5
xlm-roberta-large,nu-snli+mnli,5e-05,256.0,0.0,550.4,77.7017881717758,76.86288871137904,77.1201969507883,75.15511255687855,76.37939940634863,5
xlm-roberta-large,nu-snli+mnli,1e-05,512.0,0.2,428.8,81.98953130861385,80.74275569902895,79.89684677131916,77.00484797727333,79.21481681587382,5
xlm-roberta-large,nu-snli+mnli,3e-05,512.0,0.0,320.0,80.38557393890255,79.29556289125364,79.67924236711308,76.57432204663493,78.51637576833387,5
xlm-roberta-large,nu-snli+mnli,5e-05,512.0,0.0,217.6,74.33256453671166,73.74800878799131,70.9731126191454,68.9507032223762,71.22394154317097,5
