model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
xlm-roberta-large,jsnli,3e-05,512.0,1.0,358.4,82.55126071472243,81.15400505114913,79.08566406645438,75.84503300317357,78.69490070692571,5
xlm-roberta-large,jsnli,1e-05,512.0,1.4,576.0,83.58792416114508,82.04008485088664,79.91194656508365,76.62893656983962,79.5269893286033,5
xlm-roberta-large,jsnli,5e-05,256.0,1.0,806.4,77.49676447899579,76.46411139717267,73.8241528932929,71.10955956097575,73.7992746171471,5
xlm-roberta-large,jsnli,3e-05,256.0,1.2,921.6,76.69260100371642,75.57439168738415,68.72614047746416,66.33351264466111,70.21134826983646,5
xlm-roberta-large,jsnli,1e-05,256.0,1.0,716.8,83.37272330602069,81.95240756927684,79.56810024012921,76.33086025796797,79.28378935579134,5
xlm-roberta-large,jsnli,5e-05,128.0,0.2,793.6,79.95371334002034,78.8760798637056,78.60948769445699,76.39910781472446,77.96155845762902,5
xlm-roberta-large,jsnli,3e-05,128.0,1.4,2124.8,79.53168665565718,77.88317192807521,76.54135204660489,73.69708513609312,76.04053637025774,5
xlm-roberta-large,jsnli,1e-05,128.0,0.0,870.4,82.57389774433412,80.97178383386047,79.434730390047,76.25474160001662,78.88708527464135,5
xlm-roberta-large,jsnli,5e-05,64.0,0.6,2099.2,78.12177703432808,76.95904954915012,75.17123141853888,72.50295400074816,74.87774498947905,5
xlm-roberta-large,jsnli,3e-05,64.0,0.0,768.0,72.98759320712722,72.46006736573598,68.21240347388687,65.61208923581607,68.76152002514632,5
xlm-roberta-large,jsnli,1e-05,64.0,0.2,1740.8,82.40483104579845,80.95061396690241,79.1762544036643,76.41000574578622,78.84562470545097,5
xlm-roberta-large,janli,5e-05,512.0,25.8,339.2,74.79354242174038,74.435874952011,67.31884675350143,64.48817032074794,68.74763067542013,5
xlm-roberta-large,janli,3e-05,512.0,34.4,454.4,79.60531500462588,79.10221848179985,72.10090115132098,67.46869006022354,72.8906032311148,5
xlm-roberta-large,janli,1e-05,512.0,43.2,569.6,80.39434686011941,79.89895287462907,75.41476612630689,70.09445985751964,75.1360596194852,5
xlm-roberta-large,janli,5e-05,256.0,14.4,384.0,79.46752587772502,79.0154285920337,72.1595030144589,67.43429230723822,72.86974130457693,5
xlm-roberta-large,janli,3e-05,256.0,21.2,563.2,80.11103962802342,79.57955934704854,73.70027294110153,68.7442595447045,74.00803061095152,5
xlm-roberta-large,janli,1e-05,256.0,41.4,1088.0,80.72263576146595,80.38572858521016,75.59434190579395,70.70464220329136,75.5615708980985,5
xlm-roberta-large,janli,5e-05,128.0,6.8,384.0,74.73226300999761,74.3748956402147,63.659496411971965,59.828477513286444,65.95428985515771,5
xlm-roberta-large,janli,3e-05,128.0,14.4,768.0,79.63910080267434,79.4485150667665,73.42318602571598,68.59514761150845,73.82228290133031,5
xlm-roberta-large,janli,1e-05,128.0,22.2,1177.6,79.93660364252901,79.38906978205472,72.68037293367328,68.33413022687417,73.46785764753406,5
xlm-roberta-large,janli,5e-05,64.0,11.0,1228.8,78.42361676447668,77.70536943849068,72.44479195750522,68.19706159934577,72.78240766511388,5
xlm-roberta-large,janli,3e-05,64.0,11.2,1228.8,74.9247865702607,74.7332270587315,65.01652592808064,61.20391015308405,66.9845543799654,5
xlm-roberta-large,janli,1e-05,64.0,40.0,4249.6,80.76186323657089,80.3423505522841,75.3804320318555,70.41064575600811,75.3778094467159,5
xlm-roberta-base,nu-snli+mnli,5e-05,512.0,0.6,588.8,80.70975892458907,79.71373617061508,77.65205403851579,75.88602567868132,77.75060529593739,5
xlm-roberta-base,nu-snli+mnli,3e-05,512.0,1.0,896.0,80.92206999204339,79.67945162926424,77.79122660764791,75.83276229307157,77.76781350999457,5
